Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Opt_Hybrid,OMP,2000,2000,6,4,0,0,10,,2,0.000591,0.000000,0.00e+00,81.2164,0.0000
Opt_Hybrid,OMP,2000,2000,6,4,0,0,10,,3,0.000586,0.000000,0.00e+00,81.9155,0.0000
Opt_Hybrid,OMP,2000,2000,6,8,0,0,5,,1,0.002843,0.019031,2.37e-06,16.8857,6.6947
Opt_Hybrid,OMP,2000,2000,6,8,0,0,5,,2,0.001086,0.000000,0.00e+00,44.2092,0.0000
Opt_Hybrid,OMP,2000,2000,6,8,0,0,5,,3,0.001049,0.000000,0.00e+00,45.7672,0.0000
Opt_Grid1x8,OMP,2000,2000,6,8,1,8,1,,1,0.005017,0.018714,1.55e-06,9.5683,3.7304
Opt_Grid1x8,OMP,2000,2000,6,8,1,8,1,,2,0.004819,0.000000,0.00e+00,9.9612,0.0000
Opt_Grid1x8,OMP,2000,2000,6,8,1,8,1,,3,0.005390,0.000000,0.00e+00,8.9050,0.0000
Opt_Grid8x1,OMP,2000,2000,6,8,8,1,1,,1,0.005111,0.018870,0.00e+00,9.3924,3.6923
Opt_Grid8x1,OMP,2000,2000,6,8,8,1,1,,2,0.005121,0.000000,0.00e+00,9.3724,0.0000
Opt_Grid8x1,OMP,2000,2000,6,8,8,1,1,,3,0.005013,0.000000,0.00e+00,9.5752,0.0000
Opt_Grid2x4,OMP,2000,2000,6,8,2,4,1,,1,0.006317,0.018746,1.59e-06,7.5986,2.9676
Opt_Grid2x4,OMP,2000,2000,6,8,2,4,1,,2,0.005044,0.000000,0.00e+00,9.5168,0.0000
Opt_Grid2x4,OMP,2000,2000,6,8,2,4,1,,3,0.003848,0.000000,0.00e+00,12.4747,0.0000
Serial,OMP,2000,2000,8,1,0,0,1,,1,0.008839,0.013479,0.00e+00,7.2407,1.5250
Serial,OMP,2000,2000,8,1,0,0,1,,2,0.008857,0.000000,0.00e+00,7.2261,0.0000
Serial,OMP,2000,2000,8,1,0,0,1,,3,0.008857,0.000000,0.00e+00,7.2260,0.0000
Naive_SMP,OMP,2000,2000,8,1,0,0,40,,1,0.011586,0.013359,0.00e+00,5.5237,1.1530
Naive_SMP,OMP,2000,2000,8,1,0,0,40,,2,0.011641,0.000000,0.00e+00,5.4980,0.0000
Naive_SMP,OMP,2000,2000,8,1,0,0,40,,3,0.011556,0.000000,0.00e+00,5.5383,0.0000
Naive_Hybrid,OMP,2000,2000,8,2,0,0,20,,1,0.001786,0.013402,0.00e+00,35.8402,7.5051
Naive_Hybrid,OMP,2000,2000,8,2,0,0,20,,2,0.000710,0.000000,0.00e+00,90.1105,0.0000
Naive_Hybrid,OMP,2000,2000,8,2,0,0,20,,3,0.000912,0.000000,0.00e+00,70.2133,0.0000
Opt_SMP,OMP,2000,2000,8,1,0,0,40,,1,0.007624,0.013175,0.00e+00,8.3944,1.7280
Opt_SMP,OMP,2000,2000,8,1,0,0,40,,2,0.007631,0.000000,0.00e+00,8.3869,0.0000
Opt_SMP,OMP,2000,2000,8,1,0,0,40,,3,0.007811,0.000000,0.00e+00,8.1931,0.0000
Opt_Hybrid,OMP,2000,2000,8,2,0,0,20,,1,0.010909,0.013619,0.00e+00,5.8668,1.2485
Opt_Hybrid,OMP,2000,2000,8,2,0,0,20,,2,0.002185,0.000000,0.00e+00,29.2889,0.0000
Opt_Hybrid,OMP,2000,2000,8,2,0,0,20,,3,0.002185,0.000000,0.00e+00,29.2907,0.0000
Opt_Hybrid,OMP,2000,2000,8,4,0,0,10,,1,0.000501,0.013798,1.15e-06,127.8492,27.5629
Opt_Hybrid,OMP,2000,2000,8,4,0,0,10,,2,0.000488,0.000000,0.00e+00,131.1014,0.0000
Opt_Hybrid,OMP,2000,2000,8,4,0,0,10,,3,0.000487,0.000000,0.00e+00,131.4045,0.0000
Opt_Hybrid,OMP,2000,2000,8,8,0,0,5,,1,0.001991,0.014080,1.15e-06,32.1489,7.0727
Opt_Hybrid,OMP,2000,2000,8,8,0,0,5,,2,0.001285,0.000000,0.00e+00,49.7914,0.0000
Opt_Hybrid,OMP,2000,2000,8,8,0,0,5,,3,0.001705,0.000000,0.00e+00,37.5436,0.0000
Opt_Grid1x8,OMP,2000,2000,8,8,1,8,1,,1,0.003651,0.014323,1.08e-06,17.5294,3.9231
Opt_Grid1x8,OMP,2000,2000,8,8,1,8,1,,2,0.003212,0.000000,0.00e+00,19.9282,0.0000
Opt_Grid1x8,OMP,2000,2000,8,8,1,8,1,,3,0.004333,0.000000,0.00e+00,14.7706,0.0000
Opt_Grid8x1,OMP,2000,2000,8,8,8,1,1,,1,0.004447,0.014328,0.00e+00,14.3917,3.2218
Opt_Grid8x1,OMP,2000,2000,8,8,8,1,1,,2,0.003979,0.000000,0.00e+00,16.0834,0.0000
Opt_Grid8x1,OMP,2000,2000,8,8,8,1,1,,3,0.003200,0.000000,0.00e+00,20.0013,0.0000
Opt_Grid2x4,OMP,2000,2000,8,8,2,4,1,,1,0.004464,0.014117,1.18e-06,14.3357,3.1622
Opt_Grid2x4,OMP,2000,2000,8,8,2,4,1,,2,0.003165,0.000000,0.00e+00,20.2199,0.0000
Opt_Grid2x4,OMP,2000,2000,8,8,2,4,1,,3,0.003709,0.000000,0.00e+00,17.2555,0.0000
Serial,OMP,2000,2000,20,1,0,0,1,,1,0.014363,0.019060,0.00e+00,11.1395,1.3270
Serial,OMP,2000,2000,20,1,0,0,1,,2,0.014316,0.000000,0.00e+00,11.1760,0.0000
Serial,OMP,2000,2000,20,1,0,0,1,,3,0.014546,0.000000,0.00e+00,10.9996,0.0000
Naive_SMP,OMP,2000,2000,20,1,0,0,40,,1,0.020044,0.019510,0.00e+00,7.9825,0.9734
Naive_SMP,OMP,2000,2000,20,1,0,0,40,,2,0.019983,0.000000,0.00e+00,8.0070,0.0000
Naive_SMP,OMP,2000,2000,20,1,0,0,40,,3,0.020043,0.000000,0.00e+00,7.9830,0.0000
Naive_Hybrid,OMP,2000,2000,20,2,0,0,20,,1,0.007135,0.019622,0.00e+00,22.4255,2.7502
Naive_Hybrid,OMP,2000,2000,20,2,0,0,20,,2,0.013902,0.000000,0.00e+00,11.5090,0.0000
Naive_Hybrid,OMP,2000,2000,20,2,0,0,20,,3,0.002520,0.000000,0.00e+00,63.4852,0.0000
Opt_SMP,OMP,2000,2000,20,1,0,0,40,,1,0.012329,0.019028,0.00e+00,12.9775,1.5433
Opt_SMP,OMP,2000,2000,20,1,0,0,40,,2,0.012208,0.000000,0.00e+00,13.1067,0.0000
Opt_SMP,OMP,2000,2000,20,1,0,0,40,,3,0.012174,0.000000,0.00e+00,13.1425,0.0000
Opt_Hybrid,OMP,2000,2000,20,2,0,0,20,,1,0.003278,0.019863,0.00e+00,48.8088,6.0593
Opt_Hybrid,OMP,2000,2000,20,2,0,0,20,,2,0.008933,0.000000,0.00e+00,17.9109,0.0000
Opt_Hybrid,OMP,2000,2000,20,2,0,0,20,,3,0.002752,0.000000,0.00e+00,58.1461,0.0000
Opt_Hybrid,OMP,2000,2000,20,4,0,0,10,,1,0.000804,0.019514,1.92e-06,199.0582,24.2780
Opt_Hybrid,OMP,2000,2000,20,4,0,0,10,,2,0.000804,0.000000,0.00e+00,198.8858,0.0000
Opt_Hybrid,OMP,2000,2000,20,4,0,0,10,,3,0.000795,0.000000,0.00e+00,201.1895,0.0000
Opt_Hybrid,OMP,2000,2000,20,8,0,0,5,,1,0.002687,0.020620,1.92e-06,59.5503,7.6745
Opt_Hybrid,OMP,2000,2000,20,8,0,0,5,,2,0.002415,0.000000,0.00e+00,66.2518,0.0000
Opt_Hybrid,OMP,2000,2000,20,8,0,0,5,,3,0.002985,0.000000,0.00e+00,53.6004,0.0000
Opt_Grid1x8,OMP,2000,2000,20,8,1,8,1,,1,0.006920,0.022494,1.49e-06,23.1218,3.2507
Opt_Grid1x8,OMP,2000,2000,20,8,1,8,1,,2,0.006749,0.000000,0.00e+00,23.7077,0.0000
Opt_Grid1x8,OMP,2000,2000,20,8,1,8,1,,3,0.006965,0.000000,0.00e+00,22.9724,0.0000
Opt_Grid8x1,OMP,2000,2000,20,8,8,1,1,,1,0.005790,0.020694,0.00e+00,27.6332,3.5740
Opt_Grid8x1,OMP,2000,2000,20,8,8,1,1,,2,0.006798,0.000000,0.00e+00,23.5363,0.0000
Opt_Grid8x1,OMP,2000,2000,20,8,8,1,1,,3,0.005545,0.000000,0.00e+00,28.8558,0.0000
Opt_Grid2x4,OMP,2000,2000,20,8,2,4,1,,1,0.006852,0.020191,1.86e-06,23.3497,2.9466
Opt_Grid2x4,OMP,2000,2000,20,8,2,4,1,,2,0.006777,0.000000,0.00e+00,23.6094,0.0000
Opt_Grid2x4,OMP,2000,2000,20,8,2,4,1,,3,0.005913,0.000000,0.00e+00,27.0584,0.0000
Serial,OMP,2000,2000,32,1,0,0,1,,1,0.019824,0.028445,0.00e+00,12.9136,1.4349
Serial,OMP,2000,2000,32,1,0,0,1,,2,0.020127,0.000000,0.00e+00,12.7195,0.0000
Serial,OMP,2000,2000,32,1,0,0,1,,3,0.020319,0.000000,0.00e+00,12.5992,0.0000
Naive_SMP,OMP,2000,2000,32,1,0,0,40,,1,0.027819,0.026641,0.00e+00,9.2024,0.9576
Naive_SMP,OMP,2000,2000,32,1,0,0,40,,2,0.027901,0.000000,0.00e+00,9.1753,0.0000
Naive_SMP,OMP,2000,2000,32,1,0,0,40,,3,0.027692,0.000000,0.00e+00,9.2444,0.0000
Naive_Hybrid,OMP,2000,2000,32,2,0,0,20,,1,0.014818,0.029063,0.00e+00,17.2761,1.9613
Naive_Hybrid,OMP,2000,2000,32,2,0,0,20,,2,0.005366,0.000000,0.00e+00,47.7072,0.0000
Naive_Hybrid,OMP,2000,2000,32,2,0,0,20,,3,0.008746,0.000000,0.00e+00,29.2697,0.0000
Opt_SMP,OMP,2000,2000,32,1,0,0,40,,1,0.017660,0.028582,0.00e+00,14.4960,1.6184
Opt_SMP,OMP,2000,2000,32,1,0,0,40,,2,0.017572,0.000000,0.00e+00,14.5686,0.0000
Opt_SMP,OMP,2000,2000,32,1,0,0,40,,3,0.017510,0.000000,0.00e+00,14.6201,0.0000
Opt_Hybrid,OMP,2000,2000,32,2,0,0,20,,1,0.017512,0.029101,0.00e+00,14.6185,1.6618
Opt_Hybrid,OMP,2000,2000,32,2,0,0,20,,2,0.016176,0.000000,0.00e+00,15.8260,0.0000
Opt_Hybrid,OMP,2000,2000,32,2,0,0,20,,3,0.007519,0.000000,0.00e+00,34.0462,0.0000
Opt_Hybrid,OMP,2000,2000,32,4,0,0,10,,1,0.001117,0.027314,1.56e-06,229.1083,24.4448
Opt_Hybrid,OMP,2000,2000,32,4,0,0,10,,2,0.001120,0.000000,0.00e+00,228.5608,0.0000
Opt_Hybrid,OMP,2000,2000,32,4,0,0,10,,3,0.001122,0.000000,0.00e+00,228.1565,0.0000
Opt_Hybrid,OMP,2000,2000,32,8,0,0,5,,1,0.003240,0.028562,1.56e-06,79.0201,8.8164
Opt_Hybrid,OMP,2000,2000,32,8,0,0,5,,2,0.004358,0.000000,0.00e+00,58.7365,0.0000
Opt_Hybrid,OMP,2000,2000,32,8,0,0,5,,3,0.002913,0.000000,0.00e+00,87.8920,0.0000
Opt_Grid1x8,OMP,2000,2000,32,8,1,8,1,,1,0.009559,0.031139,1.45e-06,26.7804,3.2575
Opt_Grid1x8,OMP,2000,2000,32,8,1,8,1,,2,0.009410,0.000000,0.00e+00,27.2038,0.0000
Opt_Grid1x8,OMP,2000,2000,32,8,1,8,1,,3,0.009303,0.000000,0.00e+00,27.5184,0.0000
Opt_Grid8x1,OMP,2000,2000,32,8,8,1,1,,1,0.009445,0.031136,0.00e+00,27.1044,3.2965
Opt_Grid8x1,OMP,2000,2000,32,8,8,1,1,,2,0.008893,0.000000,0.00e+00,28.7881,0.0000
Opt_Grid8x1,OMP,2000,2000,32,8,8,1,1,,3,0.008484,0.000000,0.00e+00,30.1735,0.0000
Opt_Grid2x4,OMP,2000,2000,32,8,2,4,1,,1,0.008129,0.028338,1.48e-06,31.4927,3.4860
Opt_Grid2x4,OMP,2000,2000,32,8,2,4,1,,2,0.008890,0.000000,0.00e+00,28.7968,0.0000
Opt_Grid2x4,OMP,2000,2000,32,8,2,4,1,,3,0.009088,0.000000,0.00e+00,28.1703,0.0000
Serial,OMP,2000,4000,3,1,0,0,1,,1,0.018251,0.027167,0.00e+00,2.6299,1.4885
Serial,OMP,2000,4000,3,1,0,0,1,,2,0.018229,0.000000,0.00e+00,2.6332,0.0000
Serial,OMP,2000,4000,3,1,0,0,1,,3,0.018358,0.000000,0.00e+00,2.6146,0.0000
