Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
CUDA_Transposed,CUDA,2000,2000,8,1,1,1,,75,3,0.000108,0.000000,0.00e+00,594.3790,0.0000
CUDA_Naive,CUDA,2000,2000,20,1,1,1,,75,1,0.000340,0.019548,2.79e-08,470.2398,57.4514
CUDA_Naive,CUDA,2000,2000,20,1,1,1,,75,2,0.000341,0.000000,0.00e+00,469.8340,0.0000
CUDA_Naive,CUDA,2000,2000,20,1,1,1,,75,3,0.000341,0.000000,0.00e+00,469.6445,0.0000
CUDA_Opt2D,CUDA,2000,2000,20,1,1,1,,75,1,0.000341,0.019652,2.79e-08,469.6853,57.6896
CUDA_Opt2D,CUDA,2000,2000,20,1,1,1,,75,2,0.000338,0.000000,0.00e+00,473.3571,0.0000
CUDA_Opt2D,CUDA,2000,2000,20,1,1,1,,75,3,0.000337,0.000000,0.00e+00,474.3553,0.0000
CUDA_Tiled,CUDA,2000,2000,20,1,1,1,,75,1,0.000307,0.019061,2.79e-08,521.4658,62.1219
CUDA_Tiled,CUDA,2000,2000,20,1,1,1,,75,2,0.000307,0.000000,0.00e+00,521.7244,0.0000
CUDA_Tiled,CUDA,2000,2000,20,1,1,1,,75,3,0.000306,0.000000,0.00e+00,522.1656,0.0000
CUDA_WarpRow,CUDA,2000,2000,20,1,1,1,,75,1,0.000330,0.020884,2.79e-08,484.9480,63.2987
CUDA_WarpRow,CUDA,2000,2000,20,1,1,1,,75,2,0.000332,0.000000,0.00e+00,482.4468,0.0000
CUDA_WarpRow,CUDA,2000,2000,20,1,1,1,,75,3,0.000331,0.000000,0.00e+00,483.5401,0.0000
CUDA_Transposed,CUDA,2000,2000,20,1,1,1,,75,1,0.000233,0.019582,2.79e-08,687.1999,84.1033
CUDA_Transposed,CUDA,2000,2000,20,1,1,1,,75,2,0.000235,0.000000,0.00e+00,681.2360,0.0000
CUDA_Transposed,CUDA,2000,2000,20,1,1,1,,75,3,0.000235,0.000000,0.00e+00,681.8631,0.0000
CUDA_Naive,CUDA,2000,2000,32,1,1,1,,75,1,0.000338,0.029159,2.56e-08,757.8036,86.3165
CUDA_Naive,CUDA,2000,2000,32,1,1,1,,75,2,0.000335,0.000000,0.00e+00,764.8483,0.0000
CUDA_Naive,CUDA,2000,2000,32,1,1,1,,75,3,0.000335,0.000000,0.00e+00,763.0869,0.0000
CUDA_Opt2D,CUDA,2000,2000,32,1,1,1,,75,1,0.000338,0.028354,2.56e-08,757.3962,83.8890
CUDA_Opt2D,CUDA,2000,2000,32,1,1,1,,75,2,0.000335,0.000000,0.00e+00,764.1880,0.0000
CUDA_Opt2D,CUDA,2000,2000,32,1,1,1,,75,3,0.000334,0.000000,0.00e+00,765.6888,0.0000
CUDA_Tiled,CUDA,2000,2000,32,1,1,1,,75,1,0.000307,0.029051,2.56e-08,832.6760,94.4935
CUDA_Tiled,CUDA,2000,2000,32,1,1,1,,75,2,0.000309,0.000000,0.00e+00,828.2316,0.0000
CUDA_Tiled,CUDA,2000,2000,32,1,1,1,,75,3,0.000307,0.000000,0.00e+00,833.0697,0.0000
CUDA_WarpRow,CUDA,2000,2000,32,1,1,1,,75,1,0.000329,0.031702,2.56e-08,778.6546,96.4245
CUDA_WarpRow,CUDA,2000,2000,32,1,1,1,,75,2,0.000332,0.000000,0.00e+00,770.6902,0.0000
CUDA_WarpRow,CUDA,2000,2000,32,1,1,1,,75,3,0.000331,0.000000,0.00e+00,772.7604,0.0000
CUDA_Transposed,CUDA,2000,2000,32,1,1,1,,75,1,0.000334,0.028267,2.56e-08,767.3371,84.7282
CUDA_Transposed,CUDA,2000,2000,32,1,1,1,,75,2,0.000334,0.000000,0.00e+00,765.3241,0.0000
CUDA_Transposed,CUDA,2000,2000,32,1,1,1,,75,3,0.000332,0.000000,0.00e+00,772.1982,0.0000
CUDA_Naive,CUDA,2000,2000,64,1,1,1,,75,1,0.000576,0.050335,1.28e-08,888.7047,87.3691
CUDA_Naive,CUDA,2000,2000,64,1,1,1,,75,2,0.000577,0.000000,0.00e+00,887.3850,0.0000
CUDA_Naive,CUDA,2000,2000,64,1,1,1,,75,3,0.000576,0.000000,0.00e+00,888.1529,0.0000
CUDA_Opt2D,CUDA,2000,2000,64,1,1,1,,75,1,0.000577,0.051704,1.28e-08,887.2750,89.6010
CUDA_Opt2D,CUDA,2000,2000,64,1,1,1,,75,2,0.000582,0.000000,0.00e+00,880.3519,0.0000
CUDA_Opt2D,CUDA,2000,2000,64,1,1,1,,75,3,0.000581,0.000000,0.00e+00,880.9995,0.0000
CUDA_Tiled,CUDA,2000,2000,64,1,1,1,,75,1,0.000460,0.052050,1.28e-08,1112.3973,113.0860
CUDA_Tiled,CUDA,2000,2000,64,1,1,1,,75,2,0.000457,0.000000,0.00e+00,1119.2497,0.0000
CUDA_Tiled,CUDA,2000,2000,64,1,1,1,,75,3,0.000457,0.000000,0.00e+00,1121.4065,0.0000
CUDA_WarpRow,CUDA,2000,2000,64,1,1,1,,75,1,0.000646,0.050910,1.28e-08,793.0633,78.8576
CUDA_WarpRow,CUDA,2000,2000,64,1,1,1,,75,2,0.000651,0.000000,0.00e+00,786.3125,0.0000
CUDA_WarpRow,CUDA,2000,2000,64,1,1,1,,75,3,0.000652,0.000000,0.00e+00,785.2927,0.0000
CUDA_Transposed,CUDA,2000,2000,64,1,1,1,,75,1,0.000734,0.048276,1.28e-08,697.9482,65.8083
CUDA_Transposed,CUDA,2000,2000,64,1,1,1,,75,2,0.000729,0.000000,0.00e+00,702.2398,0.0000
CUDA_Transposed,CUDA,2000,2000,64,1,1,1,,75,3,0.000729,0.000000,0.00e+00,702.5854,0.0000
CUDA_Naive,CUDA,2000,2000,128,1,1,1,,75,1,0.001061,0.103195,1.57e-08,965.4657,97.2958
CUDA_Naive,CUDA,2000,2000,128,1,1,1,,75,2,0.001061,0.000000,0.00e+00,965.3037,0.0000
CUDA_Naive,CUDA,2000,2000,128,1,1,1,,75,3,0.001060,0.000000,0.00e+00,965.9064,0.0000
CUDA_Opt2D,CUDA,2000,2000,128,1,1,1,,75,1,0.001060,0.100347,1.57e-08,965.7777,94.6417
CUDA_Opt2D,CUDA,2000,2000,128,1,1,1,,75,2,0.001070,0.000000,0.00e+00,957.0949,0.0000
CUDA_Opt2D,CUDA,2000,2000,128,1,1,1,,75,3,0.001070,0.000000,0.00e+00,956.8883,0.0000
CUDA_Tiled,CUDA,2000,2000,128,1,1,1,,75,1,0.000902,0.105180,1.57e-08,1134.9824,116.5800
CUDA_Tiled,CUDA,2000,2000,128,1,1,1,,75,2,0.000902,0.000000,0.00e+00,1135.4506,0.0000
CUDA_Tiled,CUDA,2000,2000,128,1,1,1,,75,3,0.000903,0.000000,0.00e+00,1134.2798,0.0000
CUDA_WarpRow,CUDA,2000,2000,128,1,1,1,,75,1,0.001286,0.105034,1.57e-08,796.0128,81.6489
CUDA_WarpRow,CUDA,2000,2000,128,1,1,1,,75,2,0.001275,0.000000,0.00e+00,803.3168,0.0000
CUDA_WarpRow,CUDA,2000,2000,128,1,1,1,,75,3,0.001272,0.000000,0.00e+00,805.0771,0.0000
CUDA_Transposed,CUDA,2000,2000,128,1,1,1,,75,1,0.001594,0.097824,1.57e-08,642.2295,61.3528
CUDA_Transposed,CUDA,2000,2000,128,1,1,1,,75,2,0.001596,0.000000,0.00e+00,641.8050,0.0000
CUDA_Transposed,CUDA,2000,2000,128,1,1,1,,75,3,0.001603,0.000000,0.00e+00,638.9487,0.0000
CUDA_Naive,CUDA,2000,4000,3,1,1,1,,75,1,0.000668,0.026259,0.00e+00,71.8263,39.2932
CUDA_Naive,CUDA,2000,4000,3,1,1,1,,75,2,0.000673,0.000000,0.00e+00,71.3524,0.0000
CUDA_Naive,CUDA,2000,4000,3,1,1,1,,75,3,0.000673,0.000000,0.00e+00,71.3318,0.0000
CUDA_Opt2D,CUDA,2000,4000,3,1,1,1,,75,1,0.000674,0.027125,0.00e+00,71.2205,40.2471
CUDA_Opt2D,CUDA,2000,4000,3,1,1,1,,75,2,0.000669,0.000000,0.00e+00,71.7778,0.0000
CUDA_Opt2D,CUDA,2000,4000,3,1,1,1,,75,3,0.000669,0.000000,0.00e+00,71.6971,0.0000
CUDA_Tiled,CUDA,2000,4000,3,1,1,1,,75,1,0.000598,0.027326,0.00e+00,80.3087,45.7183
CUDA_Tiled,CUDA,2000,4000,3,1,1,1,,75,2,0.000603,0.000000,0.00e+00,79.6338,0.0000
CUDA_Tiled,CUDA,2000,4000,3,1,1,1,,75,3,0.000598,0.000000,0.00e+00,80.3166,0.0000
CUDA_WarpRow,CUDA,2000,4000,3,1,1,1,,75,1,0.000652,0.031392,0.00e+00,73.5658,48.1119
CUDA_WarpRow,CUDA,2000,4000,3,1,1,1,,75,2,0.000652,0.000000,0.00e+00,73.6414,0.0000
CUDA_WarpRow,CUDA,2000,4000,3,1,1,1,,75,3,0.000657,0.000000,0.00e+00,73.0978,0.0000
CUDA_Transposed,CUDA,2000,4000,3,1,1,1,,75,1,0.000212,0.026447,0.00e+00,226.3579,124.7174
CUDA_Transposed,CUDA,2000,4000,3,1,1,1,,75,2,0.000211,0.000000,0.00e+00,227.5280,0.0000
CUDA_Transposed,CUDA,2000,4000,3,1,1,1,,75,3,0.000211,0.000000,0.00e+00,227.1309,0.0000
