Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
CUDA_Naive,CUDA,2000,4000,32,1,1,0.000662,0.000454,0.177372
CUDA_Naive,CUDA,2000,4000,32,1,2,0.000668,0.000455,0.177134
CUDA_Naive,CUDA,2000,4000,32,1,3,0.000668,0.000450,0.177080
CUDA_Tiled,CUDA,2000,4000,32,1,1,0.000606,0.000454,0.179324
CUDA_Tiled,CUDA,2000,4000,32,1,2,0.000602,0.000458,0.176881
CUDA_Tiled,CUDA,2000,4000,32,1,3,0.000603,0.000449,0.176162
CUDA_Naive,CUDA,2000,4000,64,1,1,0.001174,0.000889,0.175265
CUDA_Naive,CUDA,2000,4000,64,1,2,0.001167,0.000891,0.183809
CUDA_Naive,CUDA,2000,4000,64,1,3,0.001169,0.000884,0.173444
CUDA_Tiled,CUDA,2000,4000,64,1,1,0.000905,0.000891,0.176789
CUDA_Tiled,CUDA,2000,4000,64,1,2,0.000902,0.000898,0.174729
CUDA_Tiled,CUDA,2000,4000,64,1,3,0.000905,0.000912,0.174080
CUDA_Naive,CUDA,2000,4000,128,1,1,0.002176,0.001808,0.175263
CUDA_Naive,CUDA,2000,4000,128,1,2,0.002160,0.001801,0.182315
CUDA_Naive,CUDA,2000,4000,128,1,3,0.002160,0.001802,0.176681
CUDA_Tiled,CUDA,2000,4000,128,1,1,0.001765,0.001807,0.179477
CUDA_Tiled,CUDA,2000,4000,128,1,2,0.001783,0.001803,0.175806
CUDA_Tiled,CUDA,2000,4000,128,1,3,0.001763,0.001803,0.178606
CUDA_Naive,CUDA,4000,2000,3,1,1,0.000602,0.000018,0.181489
CUDA_Naive,CUDA,4000,2000,3,1,2,0.000605,0.000017,0.179337
CUDA_Naive,CUDA,4000,2000,3,1,3,0.000606,0.000018,0.177203
CUDA_Tiled,CUDA,4000,2000,3,1,1,0.000461,0.000019,0.180973
CUDA_Tiled,CUDA,4000,2000,3,1,2,0.000458,0.000017,0.176938
