Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
Opt_SMP,OMP,6000,2000,128,1,2,0.218894,0.000941,0.000000
Opt_SMP,OMP,6000,2000,128,1,3,0.212918,0.000916,0.000000
Opt_SMP,OMP,4000,4000,3,1,1,0.035253,0.000032,0.000000
Opt_SMP,OMP,4000,4000,3,1,2,0.035197,0.000032,0.000000
Opt_SMP,OMP,4000,4000,3,1,3,0.035672,0.000033,0.000000
Opt_SMP,OMP,4000,4000,6,1,1,0.048435,0.000060,0.000000
Opt_SMP,OMP,4000,4000,6,1,2,0.048655,0.000061,0.000000
Opt_SMP,OMP,4000,4000,6,1,3,0.048649,0.000063,0.000000
Opt_SMP,OMP,4000,4000,8,1,1,0.039961,0.000071,0.000000
Opt_SMP,OMP,4000,4000,8,1,2,0.039848,0.000071,0.000000
Opt_SMP,OMP,4000,4000,8,1,3,0.039991,0.000071,0.000000
Opt_SMP,OMP,4000,4000,20,1,1,0.064630,0.000300,0.000000
Opt_SMP,OMP,4000,4000,20,1,2,0.062934,0.000291,0.000000
Opt_SMP,OMP,4000,4000,20,1,3,0.062786,0.000288,0.000000
Opt_SMP,OMP,4000,4000,32,1,1,0.087155,0.000457,0.000000
Opt_SMP,OMP,4000,4000,32,1,2,0.087204,0.000456,0.000000
Opt_SMP,OMP,4000,4000,32,1,3,0.088830,0.000455,0.000000
Opt_SMP,OMP,4000,4000,64,1,1,0.155311,0.000902,0.000000
Opt_SMP,OMP,4000,4000,64,1,2,0.155827,0.000949,0.000000
Opt_SMP,OMP,4000,4000,64,1,3,0.155236,0.000888,0.000000
Opt_SMP,OMP,4000,4000,128,1,1,0.316797,0.001852,0.000000
Opt_SMP,OMP,4000,4000,128,1,2,0.316723,0.001801,0.000000
Opt_SMP,OMP,4000,4000,128,1,3,0.315034,0.001881,0.000000
Opt_SMP,OMP,2000,6000,3,1,1,0.026456,0.000049,0.000000
Opt_SMP,OMP,2000,6000,3,1,2,0.026456,0.000046,0.000000
Opt_SMP,OMP,2000,6000,3,1,3,0.026434,0.000046,0.000000
Opt_SMP,OMP,2000,6000,6,1,1,0.035361,0.000078,0.000001
Opt_SMP,OMP,2000,6000,6,1,2,0.035431,0.000078,0.000000
Opt_SMP,OMP,2000,6000,6,1,3,0.036212,0.000087,0.000000
Opt_SMP,OMP,2000,6000,8,1,1,0.029613,0.000099,0.000000
Opt_SMP,OMP,2000,6000,8,1,2,0.029535,0.000106,0.000000
Opt_SMP,OMP,2000,6000,8,1,3,0.029413,0.000099,0.000000
Opt_SMP,OMP,2000,6000,20,1,1,0.048075,0.000424,0.000000
Opt_SMP,OMP,2000,6000,20,1,2,0.047120,0.000433,0.000000
Opt_SMP,OMP,2000,6000,20,1,3,0.047105,0.000432,0.000000
Opt_SMP,OMP,2000,6000,32,1,1,0.065326,0.000678,0.000000
Opt_SMP,OMP,2000,6000,32,1,2,0.065445,0.000679,0.000000
Opt_SMP,OMP,2000,6000,32,1,3,0.065710,0.000677,0.000000
Opt_SMP,OMP,2000,6000,64,1,1,0.120357,0.001335,0.000000
Opt_SMP,OMP,2000,6000,64,1,2,0.120707,0.001334,0.000000
Opt_SMP,OMP,2000,6000,64,1,3,0.121804,0.001339,0.000000
Opt_SMP,OMP,2000,6000,128,1,1,0.253164,0.002782,0.000000
Opt_SMP,OMP,2000,6000,128,1,2,0.253854,0.002159,0.000000
Opt_SMP,OMP,2000,6000,128,1,3,0.252158,0.002275,0.000000
