Mode,M,N,k,MPI_Ranks,OMP_Threads,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Opt_Hybrid,2000,2000,6,2,20,1,0.000701,0.015871,0.00e+00,68.4839,22.6445
Opt_Hybrid,2000,2000,6,2,20,2,0.000729,0.000000,0.00e+00,65.8108,0.0000
Opt_Hybrid,2000,2000,6,2,20,3,0.000701,0.000000,0.00e+00,68.4484,0.0000
Opt_Hybrid,2000,2000,6,2,20,4,0.000717,0.000000,0.00e+00,66.9234,0.0000
Opt_Hybrid,2000,2000,6,2,20,5,0.000708,0.000000,0.00e+00,67.7573,0.0000
Opt_Hybrid,2000,2000,6,4,10,1,0.000709,0.016601,2.95e-15,67.6587,23.4004
Opt_Hybrid,2000,2000,6,4,10,2,0.000714,0.000000,0.00e+00,67.2709,0.0000
Opt_Hybrid,2000,2000,6,4,10,3,0.000716,0.000000,0.00e+00,67.0203,0.0000
Opt_Hybrid,2000,2000,6,4,10,4,0.000711,0.000000,0.00e+00,67.4946,0.0000
Opt_Hybrid,2000,2000,6,4,10,5,0.000703,0.000000,0.00e+00,68.3141,0.0000
Opt_Hybrid,2000,2000,6,8,5,1,0.005021,0.017470,2.95e-15,9.5604,3.4796
Opt_Hybrid,2000,2000,6,8,5,2,0.005073,0.000000,0.00e+00,9.4623,0.0000
Opt_Hybrid,2000,2000,6,8,5,3,0.005181,0.000000,0.00e+00,9.2655,0.0000
Opt_Hybrid,2000,2000,6,8,5,4,0.005093,0.000000,0.00e+00,9.4254,0.0000
Opt_Hybrid,2000,2000,6,8,5,5,0.004506,0.000000,0.00e+00,10.6514,0.0000
Serial,2000,2000,8,1,1,1,0.010941,0.018912,0.00e+00,5.8494,1.7285
Serial,2000,2000,8,1,1,2,0.010952,0.000000,0.00e+00,5.8435,0.0000
Serial,2000,2000,8,1,1,3,0.010892,0.000000,0.00e+00,5.8757,0.0000
Serial,2000,2000,8,1,1,4,0.010816,0.000000,0.00e+00,5.9173,0.0000
Serial,2000,2000,8,1,1,5,0.010775,0.000000,0.00e+00,5.9397,0.0000
Naive_SMP,2000,2000,8,1,40,1,0.017390,0.018939,0.00e+00,3.6804,1.0891
Naive_SMP,2000,2000,8,1,40,2,0.017256,0.000000,0.00e+00,3.7089,0.0000
Naive_SMP,2000,2000,8,1,40,3,0.017791,0.000000,0.00e+00,3.5974,0.0000
Naive_SMP,2000,2000,8,1,40,4,0.017801,0.000000,0.00e+00,3.5953,0.0000
Naive_SMP,2000,2000,8,1,40,5,0.017621,0.000000,0.00e+00,3.6321,0.0000
Naive_Hybrid,2000,2000,8,2,20,1,0.001134,0.019366,0.00e+00,56.4232,17.0730
Naive_Hybrid,2000,2000,8,2,20,2,0.001128,0.000000,0.00e+00,56.7418,0.0000
Naive_Hybrid,2000,2000,8,2,20,3,0.001128,0.000000,0.00e+00,56.7160,0.0000
Naive_Hybrid,2000,2000,8,2,20,4,0.001123,0.000000,0.00e+00,56.9971,0.0000
Naive_Hybrid,2000,2000,8,2,20,5,0.001126,0.000000,0.00e+00,56.8594,0.0000
Opt_SMP,2000,2000,8,1,40,1,0.009041,0.018672,0.00e+00,7.0786,2.0651
Opt_SMP,2000,2000,8,1,40,2,0.009092,0.000000,0.00e+00,7.0390,0.0000
Opt_SMP,2000,2000,8,1,40,3,0.009186,0.000000,0.00e+00,6.9670,0.0000
Opt_SMP,2000,2000,8,1,40,4,0.009447,0.000000,0.00e+00,6.7750,0.0000
Opt_SMP,2000,2000,8,1,40,5,0.009346,0.000000,0.00e+00,6.8477,0.0000
Opt_Hybrid,2000,2000,8,2,20,1,0.000585,0.019396,0.00e+00,109.4331,33.1656
Opt_Hybrid,2000,2000,8,2,20,2,0.000576,0.000000,0.00e+00,111.1678,0.0000
Opt_Hybrid,2000,2000,8,2,20,3,0.000582,0.000000,0.00e+00,109.9549,0.0000
Opt_Hybrid,2000,2000,8,2,20,4,0.000576,0.000000,0.00e+00,111.1854,0.0000
Opt_Hybrid,2000,2000,8,2,20,5,0.000577,0.000000,0.00e+00,110.9450,0.0000
Opt_Hybrid,2000,2000,8,4,10,1,0.000582,0.019144,3.35e-15,109.9895,32.9001
Opt_Hybrid,2000,2000,8,4,10,2,0.000589,0.000000,0.00e+00,108.6920,0.0000
Opt_Hybrid,2000,2000,8,4,10,3,0.000590,0.000000,0.00e+00,108.4523,0.0000
Opt_Hybrid,2000,2000,8,4,10,4,0.000586,0.000000,0.00e+00,109.2038,0.0000
Opt_Hybrid,2000,2000,8,4,10,5,0.000591,0.000000,0.00e+00,108.3339,0.0000
Opt_Hybrid,2000,2000,8,8,5,1,0.003847,0.020375,3.35e-15,16.6368,5.2964
Opt_Hybrid,2000,2000,8,8,5,2,0.004093,0.000000,0.00e+00,15.6373,0.0000
Opt_Hybrid,2000,2000,8,8,5,3,0.002599,0.000000,0.00e+00,24.6280,0.0000
Opt_Hybrid,2000,2000,8,8,5,4,0.003198,0.000000,0.00e+00,20.0119,0.0000
Opt_Hybrid,2000,2000,8,8,5,5,0.004275,0.000000,0.00e+00,14.9710,0.0000
Serial,2000,2000,20,1,1,1,0.019115,0.040026,0.00e+00,8.3706,2.0940
Serial,2000,2000,20,1,1,2,0.019499,0.000000,0.00e+00,8.2054,0.0000
Serial,2000,2000,20,1,1,3,0.019376,0.000000,0.00e+00,8.2578,0.0000
Serial,2000,2000,20,1,1,4,0.019537,0.000000,0.00e+00,8.1897,0.0000
Serial,2000,2000,20,1,1,5,0.019407,0.000000,0.00e+00,8.2443,0.0000
Naive_SMP,2000,2000,20,1,40,1,0.035218,0.040438,0.00e+00,4.5432,1.1482
Naive_SMP,2000,2000,20,1,40,2,0.034536,0.000000,0.00e+00,4.6328,0.0000
Naive_SMP,2000,2000,20,1,40,3,0.034187,0.000000,0.00e+00,4.6801,0.0000
Naive_SMP,2000,2000,20,1,40,4,0.033788,0.000000,0.00e+00,4.7354,0.0000
Naive_SMP,2000,2000,20,1,40,5,0.034108,0.000000,0.00e+00,4.6910,0.0000
Naive_Hybrid,2000,2000,20,2,20,1,0.002224,0.039908,0.00e+00,71.9365,17.9429
Naive_Hybrid,2000,2000,20,2,20,2,0.002232,0.000000,0.00e+00,71.6981,0.0000
Naive_Hybrid,2000,2000,20,2,20,3,0.002227,0.000000,0.00e+00,71.8528,0.0000
Naive_Hybrid,2000,2000,20,2,20,4,0.002219,0.000000,0.00e+00,72.1199,0.0000
Naive_Hybrid,2000,2000,20,2,20,5,0.002245,0.000000,0.00e+00,71.2651,0.0000
Opt_SMP,2000,2000,20,1,40,1,0.018653,0.039978,0.00e+00,8.5779,2.1433
Opt_SMP,2000,2000,20,1,40,2,0.018573,0.000000,0.00e+00,8.6148,0.0000
Opt_SMP,2000,2000,20,1,40,3,0.018624,0.000000,0.00e+00,8.5912,0.0000
Opt_SMP,2000,2000,20,1,40,4,0.018817,0.000000,0.00e+00,8.5028,0.0000
Opt_SMP,2000,2000,20,1,40,5,0.019194,0.000000,0.00e+00,8.3360,0.0000
Opt_Hybrid,2000,2000,20,2,20,1,0.001216,0.040077,0.00e+00,131.5551,32.9517
Opt_Hybrid,2000,2000,20,2,20,2,0.001217,0.000000,0.00e+00,131.5160,0.0000
Opt_Hybrid,2000,2000,20,2,20,3,0.001360,0.000000,0.00e+00,117.6532,0.0000
Opt_Hybrid,2000,2000,20,2,20,4,0.001206,0.000000,0.00e+00,132.7037,0.0000
Opt_Hybrid,2000,2000,20,2,20,5,0.001215,0.000000,0.00e+00,131.6964,0.0000
Opt_Hybrid,2000,2000,20,4,10,1,0.001214,0.041049,3.19e-15,131.7418,33.7994
Opt_Hybrid,2000,2000,20,4,10,2,0.001210,0.000000,0.00e+00,132.2234,0.0000
Opt_Hybrid,2000,2000,20,4,10,3,0.001205,0.000000,0.00e+00,132.7602,0.0000
Opt_Hybrid,2000,2000,20,4,10,4,0.001214,0.000000,0.00e+00,131.7784,0.0000
Opt_Hybrid,2000,2000,20,4,10,5,0.001206,0.000000,0.00e+00,132.7031,0.0000
Opt_Hybrid,2000,2000,20,8,5,1,0.005199,0.044904,3.19e-15,30.7723,8.6363
Opt_Hybrid,2000,2000,20,8,5,2,0.005860,0.000000,0.00e+00,27.3037,0.0000
Opt_Hybrid,2000,2000,20,8,5,3,0.004894,0.000000,0.00e+00,32.6949,0.0000
Opt_Hybrid,2000,2000,20,8,5,4,0.007318,0.000000,0.00e+00,21.8644,0.0000
Opt_Hybrid,2000,2000,20,8,5,5,0.005199,0.000000,0.00e+00,30.7771,0.0000
Serial,2000,2000,32,1,1,1,0.028505,0.059707,0.00e+00,8.9810,2.0946
Serial,2000,2000,32,1,1,2,0.028807,0.000000,0.00e+00,8.8869,0.0000
Serial,2000,2000,32,1,1,3,0.028512,0.000000,0.00e+00,8.9787,0.0000
Serial,2000,2000,32,1,1,4,0.028267,0.000000,0.00e+00,9.0565,0.0000
Serial,2000,2000,32,1,1,5,0.028543,0.000000,0.00e+00,8.9688,0.0000
Naive_SMP,2000,2000,32,1,40,1,0.051576,0.059779,0.00e+00,4.9636,1.1591
Naive_SMP,2000,2000,32,1,40,2,0.050585,0.000000,0.00e+00,5.0608,0.0000
Naive_SMP,2000,2000,32,1,40,3,0.050049,0.000000,0.00e+00,5.1150,0.0000
Naive_SMP,2000,2000,32,1,40,4,0.050228,0.000000,0.00e+00,5.0968,0.0000
Naive_SMP,2000,2000,32,1,40,5,0.050299,0.000000,0.00e+00,5.0895,0.0000
Naive_Hybrid,2000,2000,32,2,20,1,0.003355,0.060702,0.00e+00,76.2959,18.0909
Naive_Hybrid,2000,2000,32,2,20,2,0.003349,0.000000,0.00e+00,76.4401,0.0000
